a	b	c	d	e	f	g	h	i	j	k	l	m	n	o	p	q	r	s	t
45.0	0.0	28.0	45.0	44.0	36.0	13.0	53.0	19.0	21.0	43.0	38.0	36.0	22.0	82.0	63.0	44.0	48.0	66.0	3.0
43.0	0.0	26.0	43.0	43.0	36.0	12.0	56.0	18.0	20.0	46.0	37.0	40.0	23.0	78.0	65.0	47.0	48.0	53.0	3.0
38.0	0.0	24.0	39.0	46.0	34.0	11.0	53.0	18.0	21.0	43.0	37.0	46.0	23.0	78.0	64.0	43.0	46.0	49.0	3.0
39.0	0.0	25.0	39.0	46.0	36.0	11.0	56.0	18.0	21.0	41.0	37.0	43.0	21.0	82.0	65.0	42.0	49.0	48.0	2.0
38.0	0.0	24.0	38.0	43.0	34.0	12.0	49.0	17.0	22.0	40.0	36.0	42.0	21.0	74.0	65.0	44.0	46.0	51.0	2.0
38.0	0.0	24.0	41.0	47.0	32.0	12.0	57.0	18.0	23.0	42.0	39.0	40.0	21.0	78.0	60.0	44.0	45.0	53.0	7.0
37.0	0.0	24.0	38.0	46.0	36.0	12.0	53.0	18.0	22.0	41.0	38.0	42.0	23.0	77.0	62.0	42.0	45.0	52.0	7.0
38.0	0.0	24.0	38.0	44.0	37.0	12.0	54.0	19.0	21.0	41.0	38.0	39.0	23.0	77.0	65.0	41.0	46.0	53.0	7.0
35.0	0.0	23.0	37.0	44.0	34.0	11.0	56.0	18.0	22.0	40.0	37.0	37.0	21.0	86.0	65.0	42.0	46.0	50.0	7.0
33.0	0.0	25.0	33.0	44.0	34.0	12.0	54.0	18.0	20.0	46.0	37.0	41.0	21.0	91.0	72.0	44.0	49.0	44.0	7.0
29.0	0.0	24.0	30.0	48.0	35.0	12.0	53.0	18.0	21.0	45.0	37.0	44.0	21.0	92.0	70.0	41.0	49.0	46.0	6.0
28.0	0.0	21.0	29.0	48.0	38.0	11.0	54.0	17.0	21.0	47.0	35.0	41.0	20.0	102.0	73.0	39.0	52.0	45.0	6.0
25.0	1.0	24.0	25.0	47.0	37.0	12.0	59.0	18.0	21.0	42.0	36.0	47.0	20.0	105.0	69.0	41.0	47.0	53.0	2.0
22.0	1.0	21.0	22.0	47.0	42.0	11.0	49.0	18.0	21.0	43.0	34.0	46.0	19.0	105.0	78.0	34.0	51.0	49.0	2.0
20.0	0.0	21.0	20.0	50.0	37.0	12.0	52.0	17.0	19.0	45.0	37.0	47.0	20.0	112.0	83.0	34.0	53.0	47.0	2.0
20.0	1.0	19.0	20.0	44.0	42.0	11.0	56.0	16.0	22.0	44.0	35.0	45.0	20.0	116.0	79.0	33.0	53.0	43.0	1.0
19.0	1.0	18.0	20.0	45.0	38.0	12.0	58.0	17.0	22.0	44.0	34.0	51.0	18.0	118.0	77.0	34.0	50.0	45.0	1.0
19.0	0.0	18.0	19.0	47.0	43.0	11.0	56.0	17.0	19.0	45.0	36.0	45.0	18.0	115.0	78.0	32.0	53.0	47.0	1.0
20.0	1.0	15.0	20.0	46.0	38.0	12.0	56.0	17.0	21.0	47.0	35.0	43.0	20.0	116.0	75.0	34.0	51.0	43.0	4.0
19.0	1.0	20.0	20.0	46.0	43.0	11.0	54.0	16.0	19.0	42.0	35.0	46.0	19.0	114.0	77.0	33.0	52.0	44.0	4.0
19.0	0.0	18.0	18.0	48.0	36.0	11.0	52.0	16.0	21.0	45.0	34.0	44.0	21.0	111.0	80.0	36.0	42.0	42.0	6.0
16.0	0.0	17.0	17.0	46.0	37.0	9.0	51.0	17.0	19.0	45.0	35.0	44.0	19.0	109.0	75.0	37.0	49.0	46.0	6.0
14.0	0.0	16.0	15.0	46.0	39.0	9.0	45.0	16.0	20.0	43.0	32.0	49.0	17.0	100.0	74.0	36.0	43.0	48.0	6.0
14.0	0.0	16.0	13.0	44.0	34.0	8.0	47.0	17.0	20.0	37.0	32.0	48.0	17.0	106.0	76.0	36.0	40.0	47.0	9.0
11.0	0.0	16.0	11.0	43.0	34.0	8.0	43.0	18.0	19.0	44.0	32.0	51.0	16.0	92.0	78.0	32.0	40.0	44.0	9.0
10.0	0.0	12.0	10.0	41.0	32.0	7.0	41.0	16.0	18.0	40.0	31.0	50.0	17.0	97.0	76.0	32.0	38.0	43.0	6.0
8.0	0.0	12.0	9.0	41.0	32.0	6.0	42.0	16.0	16.0	40.0	31.0	50.0	14.0	94.0	74.0	35.0	37.0	49.0	6.0
8.0	0.0	12.0	8.0	43.0	33.0	6.0	41.0	15.0	18.0	40.0	30.0	50.0	16.0	91.0	73.0	35.0	36.0	49.0	4.0
8.0	0.0	11.0	10.0	38.0	33.0	6.0	43.0	16.0	18.0	42.0	31.0	46.0	16.0	91.0	70.0	33.0	35.0	47.0	4.0
8.0	0.0	12.0	9.0	40.0	34.0	7.0	40.0	16.0	18.0	41.0	31.0	48.0	15.0	93.0	74.0	34.0	38.0	49.0	4.0
9.0	0.0	14.0	8.0	39.0	31.0	6.0	38.0	16.0	20.0	39.0	31.0	47.0	14.0	92.0	73.0	33.0	37.0	48.0	1.0
9.0	0.0	14.0	8.0	38.0	32.0	6.0	41.0	17.0	18.0	41.0	32.0	47.0	14.0	90.0	77.0	33.0	34.0	51.0	1.0
8.0	0.0	13.0	8.0	39.0	32.0	7.0	43.0	16.0	19.0	41.0	32.0	47.0	15.0	90.0	70.0	34.0	39.0	52.0	2.0
7.0	0.0	13.0	8.0	36.0	31.0	7.0	42.0	18.0	17.0	44.0	32.0	50.0	15.0	88.0	70.0	33.0	36.0	51.0	2.0
7.0	0.0	14.0	7.0	39.0	35.0	7.0	46.0	16.0	20.0	41.0	33.0	50.0	17.0	89.0	71.0	36.0	37.0	55.0	2.0
7.0	0.0	13.0	7.0	40.0	34.0	9.0	49.0	16.0	21.0	44.0	33.0	50.0	12.0	84.0	62.0	37.0	35.0	53.0	4.0
7.0	0.0	13.0	7.0	43.0	34.0	8.0	46.0	16.0	20.0	46.0	32.0	54.0	15.0	85.0	66.0	36.0	32.0	58.0	4.0
7.0	0.0	14.0	8.0	41.0	36.0	9.0	45.0	16.0	21.0	46.0	34.0	53.0	15.0	84.0	68.0	40.0	32.0	57.0	4.0
7.0	0.0	13.0	7.0	44.0	34.0	11.0	52.0	17.0	22.0	47.0	33.0	51.0	14.0	78.0	61.0	42.0	33.0	58.0	4.0
7.0	0.0	13.0	7.0	44.0	36.0	11.0	47.0	16.0	21.0	44.0	35.0	52.0	15.0	80.0	62.0	38.0	33.0	66.0	3.0
7.0	0.0	14.0	7.0	43.0	36.0	11.0	51.0	17.0	21.0	43.0	34.0	52.0	16.0	77.0	61.0	39.0	32.0	67.0	3.0
7.0	0.0	14.0	7.0	43.0	31.0	12.0	51.0	15.0	21.0	44.0	33.0	48.0	13.0	83.0	60.0	40.0	32.0	66.0	3.0
7.0	0.0	13.0	6.0	42.0	33.0	10.0	52.0	16.0	21.0	47.0	34.0	51.0	13.0	81.0	68.0	39.0	32.0	62.0	1.0
7.0	0.0	14.0	5.0	46.0	34.0	11.0	55.0	15.0	21.0	47.0	33.0	52.0	14.0	80.0	62.0	40.0	33.0	67.0	1.0
7.0	0.0	14.0	7.0	41.0	34.0	10.0	51.0	15.0	23.0	46.0	36.0	49.0	16.0	77.0	66.0	39.0	34.0	55.0	1.0
7.0	0.0	14.0	8.0	44.0	34.0	11.0	58.0	15.0	22.0	46.0	37.0	58.0	16.0	91.0	66.0	39.0	38.0	50.0	1.0
7.0	0.0	14.0	8.0	44.0	37.0	10.0	54.0	16.0	21.0	46.0	33.0	57.0	18.0	95.0	73.0	40.0	42.0	46.0	1.0
8.0	0.0	14.0	8.0	42.0	35.0	12.0	57.0	16.0	22.0	47.0	37.0	52.0	19.0	92.0	77.0	39.0	48.0	44.0	1.0
8.0	0.0	14.0	8.0	44.0	33.0	11.0	59.0	15.0	25.0	49.0	38.0	48.0	20.0	98.0	78.0	38.0	43.0	37.0	1.0
9.0	0.0	14.0	9.0	40.0	38.0	11.0	59.0	15.0	22.0	50.0	36.0	60.0	25.0	104.0	78.0	35.0	44.0	32.0	1.0
9.0	0.0	16.0	9.0	41.0	37.0	13.0	55.0	15.0	22.0	47.0	36.0	51.0	28.0	102.0	84.0	36.0	51.0	29.0	2.0
9.0	0.0	15.0	9.0	37.0	35.0	12.0	56.0	15.0	24.0	46.0	38.0	56.0	29.0	105.0	86.0	36.0	50.0	30.0	2.0
9.0	0.0	15.0	9.0	40.0	36.0	14.0	51.0	14.0	23.0	48.0	38.0	52.0	24.0	105.0	84.0	37.0	52.0	30.0	4.0
9.0	0.0	15.0	9.0	39.0	35.0	13.0	60.0	14.0	23.0	50.0	38.0	58.0	29.0	100.0	88.0	33.0	50.0	27.0	4.0
9.0	0.0	15.0	9.0	40.0	33.0	12.0	59.0	15.0	25.0	47.0	37.0	56.0	27.0	102.0	87.0	36.0	52.0	27.0	4.0
9.0	0.0	15.0	9.0	39.0	37.0	12.0	59.0	15.0	24.0	47.0	37.0	57.0	28.0	105.0	89.0	32.0	53.0	29.0	4.0
10.0	1.0	17.0	11.0	43.0	37.0	13.0	57.0	15.0	24.0	47.0	38.0	57.0	24.0	107.0	84.0	36.0	55.0	30.0	4.0
11.0	1.0	17.0	11.0	39.0	37.0	12.0	57.0	15.0	23.0	50.0	38.0	58.0	26.0	105.0	79.0	37.0	56.0	38.0	4.0
12.0	2.0	19.0	12.0	41.0	35.0	14.0	56.0	16.0	23.0	46.0	38.0	54.0	27.0	105.0	89.0	37.0	54.0	35.0	6.0
13.0	2.0	19.0	13.0	39.0	35.0	12.0	58.0	17.0	22.0	45.0	38.0	55.0	27.0	105.0	83.0	36.0	56.0	39.0	4.0
14.0	3.0	21.0	14.0	39.0	36.0	13.0	51.0	16.0	23.0	46.0	40.0	53.0	28.0	105.0	80.0	32.0	57.0	47.0	3.0
14.0	3.0	22.0	16.0	38.0	36.0	13.0	55.0	16.0	23.0	46.0	39.0	57.0	28.0	112.0	78.0	32.0	58.0	51.0	3.0
16.0	3.0	23.0	16.0	39.0	35.0	12.0	52.0	17.0	22.0	46.0	39.0	59.0	27.0	102.0	75.0	35.0	58.0	60.0	3.0
16.0	4.0	23.0	16.0	37.0	38.0	12.0	51.0	18.0	23.0	44.0	39.0	52.0	30.0	103.0	79.0	33.0	56.0	54.0	3.0
16.0	4.0	23.0	16.0	37.0	36.0	12.0	52.0	17.0	21.0	45.0	38.0	54.0	28.0	113.0	79.0	36.0	59.0	52.0	3.0
16.0	4.0	23.0	16.0	36.0	36.0	14.0	55.0	18.0	21.0	45.0	40.0	51.0	30.0	105.0	74.0	32.0	55.0	55.0	2.0
16.0	4.0	23.0	16.0	38.0	39.0	13.0	49.0	18.0	23.0	44.0	38.0	52.0	26.0	106.0	78.0	38.0	57.0	49.0	1.0
17.0	4.0	23.0	16.0	37.0	35.0	11.0	52.0	16.0	24.0	44.0	38.0	56.0	27.0	111.0	77.0	31.0	56.0	59.0	1.0
17.0	6.0	23.0	17.0	37.0	36.0	13.0	52.0	18.0	21.0	41.0	40.0	54.0	28.0	105.0	76.0	31.0	55.0	59.0	2.0
18.0	8.0	22.0	18.0	38.0	34.0	12.0	53.0	17.0	24.0	39.0	40.0	54.0	25.0	100.0	70.0	34.0	51.0	53.0	12.0
20.0	10.0	23.0	18.0	37.0	37.0	11.0	54.0	16.0	21.0	39.0	40.0	51.0	26.0	94.0	70.0	32.0	51.0	51.0	32.0
20.0	11.0	23.0	21.0	38.0	35.0	11.0	52.0	17.0	23.0	35.0	39.0	56.0	23.0	94.0	65.0	33.0	52.0	54.0	32.0
20.0	13.0	22.0	22.0	38.0	34.0	10.0	48.0	17.0	24.0	32.0	39.0	52.0	25.0	89.0	66.0	32.0	46.0	55.0	33.0
21.0	15.0	20.0	22.0	35.0	35.0	10.0	50.0	18.0	23.0	31.0	38.0	52.0	26.0	89.0	60.0	33.0	48.0	45.0	33.0
22.0	17.0	20.0	23.0	38.0	33.0	9.0	50.0	17.0	24.0	26.0	40.0	59.0	23.0	85.0	58.0	31.0	47.0	51.0	33.0
23.0	17.0	20.0	24.0	38.0	32.0	9.0	55.0	16.0	23.0	27.0	40.0	49.0	25.0	86.0	60.0	33.0	46.0	44.0	33.0
23.0	17.0	21.0	23.0	40.0	35.0	9.0	52.0	16.0	23.0	25.0	38.0	53.0	23.0	85.0	60.0	31.0	41.0	51.0	23.0
23.0	17.0	21.0	23.0	37.0	32.0	10.0	51.0	16.0	24.0	27.0	40.0	53.0	24.0	84.0	66.0	33.0	43.0	53.0	2.0
23.0	17.0	20.0	23.0	38.0	31.0	9.0	49.0	17.0	22.0	25.0	40.0	47.0	22.0	84.0	61.0	30.0	44.0	53.0	2.0
22.0	17.0	21.0	23.0	37.0	36.0	10.0	49.0	16.0	23.0	27.0	39.0	48.0	23.0	82.0	63.0	34.0	45.0	54.0	2.0
24.0	18.0	22.0	24.0	40.0	32.0	10.0	51.0	16.0	22.0	30.0	40.0	55.0	24.0	82.0	60.0	33.0	48.0	47.0	4.0
25.0	18.0	24.0	25.0	36.0	31.0	10.0	53.0	16.0	23.0	30.0	40.0	53.0	19.0	89.0	66.0	33.0	48.0	55.0	7.0
26.0	18.0	25.0	27.0	37.0	33.0	10.0	53.0	17.0	24.0	29.0	37.0	51.0	21.0	88.0	67.0	30.0	46.0	47.0	9.0
27.0	18.0	26.0	27.0	35.0	31.0	9.0	55.0	17.0	22.0	35.0	39.0	51.0	21.0	89.0	68.0	34.0	48.0	44.0	13.0
28.0	19.0	28.0	28.0	33.0	32.0	9.0	54.0	16.0	23.0	39.0	39.0	48.0	21.0	85.0	71.0	33.0	47.0	51.0	13.0
29.0	19.0	29.0	30.0	33.0	33.0	10.0	56.0	17.0	22.0	43.0	38.0	50.0	19.0	87.0	72.0	32.0	45.0	48.0	13.0
30.0	19.0	30.0	31.0	32.0	33.0	11.0	60.0	16.0	23.0	42.0	39.0	43.0	18.0	86.0	75.0	36.0	47.0	46.0	16.0
30.0	19.0	30.0	31.0	33.0	33.0	10.0	55.0	17.0	25.0	41.0	38.0	48.0	19.0	94.0	70.0	31.0	49.0	48.0	14.0
31.0	19.0	31.0	30.0	33.0	32.0	10.0	55.0	18.0	23.0	40.0	36.0	49.0	18.0	92.0	72.0	33.0	50.0	55.0	11.0
31.0	19.0	30.0	31.0	31.0	31.0	11.0	52.0	18.0	23.0	41.0	36.0	50.0	17.0	92.0	71.0	33.0	49.0	52.0	8.0
31.0	20.0	31.0	31.0	32.0	33.0	11.0	59.0	16.0	22.0	39.0	36.0	48.0	17.0	87.0	70.0	34.0	51.0	52.0	5.0
31.0	19.0	30.0	30.0	33.0	30.0	10.0	57.0	16.0	23.0	42.0	37.0	49.0	18.0	89.0	76.0	31.0	50.0	51.0	4.0
30.0	19.0	29.0	31.0	32.0	32.0	10.0	55.0	17.0	24.0	45.0	38.0	51.0	21.0	90.0	76.0	34.0	50.0	49.0	4.0
31.0	19.0	28.0	31.0	29.0	32.0	11.0	50.0	17.0	22.0	38.0	38.0	49.0	23.0	94.0	66.0	39.0	49.0	44.0	2.0
32.0	19.0	27.0	32.0	29.0	31.0	11.0	50.0	16.0	23.0	43.0	40.0	48.0	23.0	94.0	73.0	35.0	53.0	40.0	8.0
32.0	20.0	26.0	32.0	31.0	31.0	12.0	49.0	16.0	22.0	46.0	38.0	49.0	26.0	92.0	71.0	34.0	53.0	40.0	15.0
33.0	20.0	25.0	33.0	29.0	29.0	11.0	47.0	16.0	23.0	37.0	39.0	45.0	28.0	97.0	74.0	33.0	54.0	36.0	17.0
32.0	20.0	24.0	33.0	26.0	31.0	12.0	43.0	16.0	21.0	45.0	40.0	48.0	26.0	97.0	71.0	36.0	51.0	33.0	17.0
33.0	20.0	23.0	33.0	29.0	30.0	12.0	46.0	17.0	20.0	46.0	39.0	47.0	34.0	106.0	68.0	35.0	50.0	29.0	17.0
33.0	20.0	24.0	34.0	26.0	30.0	11.0	40.0	15.0	20.0	46.0	40.0	50.0	33.0	91.0	67.0	33.0	50.0	29.0	17.0
33.0	20.0	24.0	34.0	26.0	28.0	11.0	47.0	17.0	22.0	45.0	38.0	47.0	29.0	101.0	64.0	34.0	55.0	29.0	17.0
33.0	20.0	24.0	34.0	27.0	27.0	12.0	45.0	17.0	21.0	43.0	42.0	52.0	31.0	98.0	63.0	34.0	52.0	32.0	11.0
34.0	20.0	24.0	34.0	26.0	31.0	11.0	42.0	16.0	20.0	48.0	40.0	48.0	26.0	101.0	67.0	34.0	51.0	28.0	4.0
33.0	20.0	23.0	34.0	27.0	29.0	12.0	45.0	16.0	22.0	46.0	40.0	49.0	28.0	101.0	67.0	31.0	56.0	29.0	3.0
33.0	20.0	24.0	33.0	27.0	29.0	11.0	41.0	17.0	22.0	42.0	40.0	49.0	28.0	95.0	65.0	32.0	53.0	33.0	4.0
33.0	20.0	23.0	33.0	31.0	29.0	11.0	43.0	17.0	22.0	40.0	39.0	46.0	24.0	93.0	66.0	37.0	51.0	39.0	27.0
33.0	20.0	23.0	33.0	31.0	30.0	10.0	41.0	18.0	22.0	38.0	38.0	46.0	24.0	94.0	60.0	32.0	53.0	43.0	56.0
33.0	20.0	23.0	33.0	31.0	28.0	10.0	37.0	17.0	23.0	36.0	37.0	45.0	23.0	98.0	63.0	32.0	50.0	41.0	85.0
33.0	20.0	23.0	33.0	31.0	30.0	10.0	39.0	19.0	20.0	36.0	36.0	48.0	21.0	93.0	60.0	31.0	48.0	46.0	99.0
33.0	20.0	23.0	33.0	32.0	31.0	8.0	37.0	18.0	21.0	32.0	36.0	43.0	18.0	89.0	59.0	29.0	48.0	48.0	100.0
32.0	20.0	23.0	33.0	33.0	29.0	9.0	37.0	20.0	21.0	29.0	36.0	42.0	16.0	93.0	67.0	31.0	47.0	47.0	100.0
33.0	20.0	23.0	32.0	32.0	31.0	10.0	37.0	17.0	20.0	30.0	35.0	42.0	19.0	90.0	63.0	29.0	49.0	53.0	98.0
33.0	20.0	23.0	33.0	31.0	31.0	9.0	36.0	17.0	21.0	31.0	36.0	42.0	19.0	85.0	66.0	30.0	44.0	45.0	75.0
33.0	20.0	23.0	33.0	30.0	29.0	9.0	38.0	21.0	21.0	28.0	35.0	43.0	17.0	91.0	59.0	29.0	49.0	49.0	45.0
33.0	20.0	23.0	33.0	35.0	30.0	9.0	40.0	18.0	20.0	29.0	35.0	39.0	17.0	94.0	59.0	31.0	45.0	49.0	16.0
32.0	20.0	23.0	33.0	33.0	32.0	9.0	38.0	18.0	20.0	29.0	35.0	40.0	18.0	93.0	60.0	31.0	47.0	46.0	2.0
33.0	20.0	23.0	33.0	32.0	31.0	10.0	39.0	16.0	21.0	34.0	36.0	42.0	16.0	87.0	59.0	32.0	42.0	45.0	2.0
32.0	20.0	23.0	33.0	35.0	29.0	9.0	38.0	19.0	21.0	37.0	37.0	42.0	18.0	86.0	64.0	32.0	44.0	44.0	2.0
33.0	20.0	23.0	33.0	35.0	32.0	8.0	39.0	17.0	21.0	40.0	35.0	46.0	17.0	91.0	61.0	34.0	41.0	43.0	2.0
33.0	20.0	23.0	33.0	35.0	33.0	8.0	35.0	17.0	20.0	38.0	35.0	41.0	17.0	86.0	67.0	33.0	39.0	41.0	2.0
32.0	20.0	23.0	33.0	37.0	31.0	7.0	33.0	17.0	23.0	45.0	34.0	41.0	16.0	85.0	64.0	37.0	33.0	37.0	2.0
32.0	19.0	23.0	33.0	38.0	31.0	7.0	40.0	17.0	21.0	46.0	34.0	44.0	14.0	91.0	56.0	36.0	33.0	41.0	2.0
33.0	19.0	23.0	33.0	41.0	33.0	7.0	39.0	17.0	22.0	46.0	35.0	41.0	14.0	82.0	54.0	37.0	32.0	37.0	8.0
32.0	19.0	23.0	33.0	39.0	33.0	7.0	40.0	17.0	24.0	50.0	36.0	39.0	15.0	77.0	58.0	37.0	31.0	36.0	24.0
32.0	19.0	23.0	33.0	41.0	31.0	7.0	40.0	17.0	22.0	48.0	34.0	41.0	16.0	83.0	59.0	36.0	29.0	35.0	27.0
33.0	20.0	23.0	33.0	41.0	33.0	7.0	38.0	16.0	20.0	48.0	34.0	39.0	15.0	85.0	58.0	40.0	31.0	37.0	30.0
32.0	19.0	23.0	33.0	41.0	33.0	6.0	38.0	17.0	23.0	45.0	35.0	40.0	14.0	79.0	63.0	38.0	29.0	33.0	35.0
32.0	19.0	23.0	33.0	40.0	31.0	7.0	35.0	17.0	25.0	46.0	35.0	41.0	14.0	87.0	56.0	35.0	29.0	33.0	43.0
33.0	18.0	23.0	33.0	33.0	33.0	7.0	40.0	17.0	21.0	53.0	35.0	42.0	16.0	92.0	63.0	40.0	33.0	38.0	50.0
33.0	18.0	23.0	33.0	39.0	35.0	8.0	43.0	17.0	24.0	54.0	35.0	43.0	19.0	87.0	64.0	36.0	32.0	39.0	51.0
33.0	17.0	23.0	34.0	42.0	35.0	7.0	43.0	17.0	21.0	54.0	36.0	38.0	19.0	93.0	63.0	32.0	39.0	40.0	43.0
34.0	16.0	23.0	34.0	37.0	34.0	9.0	46.0	16.0	21.0	53.0	37.0	38.0	17.0	96.0	65.0	35.0	43.0	42.0	47.0
34.0	16.0	23.0	34.0	34.0	33.0	9.0	45.0	15.0	23.0	60.0	39.0	35.0	18.0	96.0	72.0	36.0	42.0	42.0	52.0
34.0	15.0	23.0	35.0	34.0	36.0	8.0	47.0	15.0	21.0	62.0	38.0	37.0	20.0	100.0	68.0	36.0	46.0	43.0	56.0
34.0	15.0	23.0	35.0	37.0	36.0	10.0	50.0	15.0	24.0	63.0	41.0	35.0	22.0	103.0	76.0	33.0	48.0	47.0	57.0
