RUN	SCHEDULE_ID	DOMAIN_SIZES_SET 	 STRATEGY_PLACEMENT 	 STRATEGY_REALLOCATION 	 max. servers 	 avg. srv. count
0	30301	2 	 LowerBoundDemand 	 None 	 41.000000 	 16.836012
0	30102	2 	 LowerBound 	 None 	 19.000000 	 8.147643
0	30102	2 	 LowerBoundDemand 	 None 	 16.000000 	 6.666180
0	30017	1 	 LowerBound 	 None 	 22.000000 	 10.537367
0	30017	1 	 LowerBoundDemand 	 None 	 15.000000 	 7.347562
0	30122	2 	 LowerBound 	 None 	 16.000000 	 8.615433
0	30122	2 	 LowerBoundDemand 	 None 	 13.000000 	 7.068270
0	30112	2 	 LowerBound 	 None 	 15.000000 	 8.382083
0	30112	2 	 LowerBoundDemand 	 None 	 12.000000 	 6.873105
0	30007	1 	 LowerBound 	 None 	 17.000000 	 8.985461
0	30007	1 	 LowerBoundDemand 	 None 	 12.000000 	 6.134735
0	30312	2 	 LowerBound 	 None 	 54.000000 	 20.935585
0	30312	2 	 LowerBoundDemand 	 None 	 44.000000 	 17.047210
0	30322	2 	 LowerBound 	 None 	 49.000000 	 17.471169
0	30322	2 	 LowerBoundDemand 	 None 	 40.000000 	 14.222130
0	30207	1 	 LowerBound 	 None 	 45.000000 	 20.634673
0	30207	1 	 LowerBoundDemand 	 None 	 29.000000 	 13.577475
0	30217	1 	 LowerBound 	 None 	 52.000000 	 27.588896
0	30217	1 	 LowerBoundDemand 	 None 	 35.000000 	 18.528169
0	30302	2 	 LowerBound 	 None 	 49.000000 	 16.156136
0	30302	2 	 LowerBoundDemand 	 None 	 40.000000 	 13.203539
0	30103	2 	 LowerBound 	 None 	 14.000000 	 8.346521
0	30103	2 	 LowerBoundDemand 	 None 	 11.000000 	 6.860318
0	30018	1 	 LowerBound 	 None 	 18.000000 	 9.840545
0	30018	1 	 LowerBoundDemand 	 None 	 13.000000 	 6.905746
0	30123	2 	 LowerBound 	 None 	 17.000000 	 8.495465
0	30123	2 	 LowerBoundDemand 	 None 	 14.000000 	 6.959372
0	30113	2 	 LowerBound 	 None 	 17.000000 	 8.299613
0	30113	2 	 LowerBoundDemand 	 None 	 14.000000 	 6.858263
0	30008	1 	 LowerBound 	 None 	 19.000000 	 9.150924
0	30008	1 	 LowerBoundDemand 	 None 	 13.000000 	 6.188849
0	30313	2 	 LowerBound 	 None 	 53.000000 	 21.121882
0	30313	2 	 LowerBoundDemand 	 None 	 43.000000 	 17.222444
0	30323	2 	 LowerBound 	 None 	 45.000000 	 20.609924
0	30323	2 	 LowerBoundDemand 	 None 	 36.000000 	 16.787634
0	30208	1 	 LowerBound 	 None 	 53.000000 	 26.099543
0	30208	1 	 LowerBoundDemand 	 None 	 34.000000 	 17.381866
0	30218	1 	 LowerBound 	 None 	 57.000000 	 25.481321
0	30218	1 	 LowerBoundDemand 	 None 	 38.000000 	 16.760271
0	30303	2 	 LowerBound 	 None 	 57.000000 	 22.725909
0	30303	2 	 LowerBoundDemand 	 None 	 46.000000 	 18.521510
0	30104	2 	 LowerBound 	 None 	 15.000000 	 8.816843
0	30104	2 	 LowerBoundDemand 	 None 	 12.000000 	 7.298499
0	30019	1 	 LowerBound 	 None 	 17.000000 	 9.902356
0	30019	1 	 LowerBoundDemand 	 None 	 12.000000 	 6.641638
0	30124	2 	 LowerBound 	 None 	 18.000000 	 9.911424
0	30124	2 	 LowerBoundDemand 	 None 	 15.000000 	 8.117852
0	30114	2 	 LowerBound 	 None 	 16.000000 	 7.031267
0	30114	2 	 LowerBoundDemand 	 None 	 13.000000 	 5.769506
0	30009	1 	 LowerBound 	 None 	 18.000000 	 10.392923
0	30009	1 	 LowerBoundDemand 	 None 	 12.000000 	 7.168260
0	30314	2 	 LowerBound 	 None 	 42.000000 	 15.654089
0	30314	2 	 LowerBoundDemand 	 None 	 34.000000 	 12.768579
0	30324	2 	 LowerBound 	 None 	 46.000000 	 21.142827
0	30324	2 	 LowerBoundDemand 	 None 	 38.000000 	 17.214177
0	30209	1 	 LowerBound 	 None 	 46.000000 	 21.157186
0	30209	1 	 LowerBoundDemand 	 None 	 31.000000 	 13.899212
0	30219	1 	 LowerBound 	 None 	 49.000000 	 21.905854
0	30219	1 	 LowerBoundDemand 	 None 	 31.000000 	 13.891557
0	30304	2 	 LowerBound 	 None 	 48.000000 	 20.536524
0	30304	2 	 LowerBoundDemand 	 None 	 39.000000 	 16.707748
0	30400	1 	 LowerBound 	 None 	 8.000000 	 3.032716
0	30400	1 	 LowerBoundDemand 	 None 	 5.000000 	 2.218048
0	30410	1 	 LowerBound 	 None 	 8.000000 	 3.085453
0	30410	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.243607
0	30420	1 	 LowerBound 	 None 	 7.000000 	 2.796050
0	30420	1 	 LowerBoundDemand 	 None 	 5.000000 	 2.038095
0	30505	2 	 LowerBound 	 None 	 8.000000 	 2.903256
0	30505	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.478141
0	30515	2 	 LowerBound 	 None 	 8.000000 	 2.963481
0	30515	2 	 LowerBoundDemand 	 None 	 7.000000 	 2.484157
0	30600	1 	 LowerBound 	 None 	 24.000000 	 11.781792
0	30600	1 	 LowerBoundDemand 	 None 	 17.000000 	 8.077420
0	30610	1 	 LowerBound 	 None 	 20.000000 	 12.812402
0	30610	1 	 LowerBoundDemand 	 None 	 14.000000 	 8.550250
0	30620	1 	 LowerBound 	 None 	 19.000000 	 11.527733
0	30620	1 	 LowerBoundDemand 	 None 	 13.000000 	 7.910569
0	30715	2 	 LowerBound 	 None 	 19.000000 	 9.717416
0	30715	2 	 LowerBoundDemand 	 None 	 16.000000 	 8.005074
0	30705	2 	 LowerBound 	 None 	 20.000000 	 10.880454
0	30705	2 	 LowerBoundDemand 	 None 	 16.000000 	 8.956981
0	30401	1 	 LowerBound 	 None 	 10.000000 	 3.086970
0	30401	1 	 LowerBoundDemand 	 None 	 7.000000 	 2.208264
0	30411	1 	 LowerBound 	 None 	 9.000000 	 2.935633
0	30411	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.153440
0	30421	1 	 LowerBound 	 None 	 8.000000 	 3.391240
0	30421	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.404617
0	30506	2 	 LowerBound 	 None 	 7.000000 	 2.771208
0	30506	2 	 LowerBoundDemand 	 None 	 6.000000 	 2.343501
0	30516	2 	 LowerBound 	 None 	 6.000000 	 2.680948
0	30516	2 	 LowerBoundDemand 	 None 	 5.000000 	 2.229691
0	30601	1 	 LowerBound 	 None 	 21.000000 	 10.076363
0	30601	1 	 LowerBoundDemand 	 None 	 15.000000 	 6.898015
0	30611	1 	 LowerBound 	 None 	 25.000000 	 10.580497
0	30611	1 	 LowerBoundDemand 	 None 	 17.000000 	 7.272180
0	30621	1 	 LowerBound 	 None 	 18.000000 	 10.266149
0	30621	1 	 LowerBoundDemand 	 None 	 12.000000 	 6.806781
0	30716	2 	 LowerBound 	 None 	 16.000000 	 9.393009
0	30716	2 	 LowerBoundDemand 	 None 	 13.000000 	 7.725459
0	30706	2 	 LowerBound 	 None 	 18.000000 	 9.172719
0	30706	2 	 LowerBoundDemand 	 None 	 15.000000 	 7.536988
0	30402	1 	 LowerBound 	 None 	 11.000000 	 2.945954
0	30402	1 	 LowerBoundDemand 	 None 	 8.000000 	 2.198424
0	30412	1 	 LowerBound 	 None 	 8.000000 	 2.764259
0	30412	1 	 LowerBoundDemand 	 None 	 6.000000 	 2.059792
0	30422	1 	 LowerBound 	 None 	 7.000000 	 2.790153
0	30422	1 	 LowerBoundDemand 	 None 	 5.000000 	 2.027036
0	30507	2 	 LowerBound 	 None 	 8.000000 	 2.927493
0	30507	2 	 LowerBoundDemand 	 None 	 7.000000 	 2.417844
0	30517	2 	 LowerBound 	 None 	 8.000000 	 2.683810
0	30517	2 	 LowerBoundDemand 	 None 	 7.000000 	 2.287902
0	30602	1 	 LowerBound 	 None 	 21.000000 	 10.642802
