Placement Controller,Reallocation Controller,Initial Placement,Times,Workload data,Schedule,Release,Experiment start time,Experiment stop time,Status,MEAN server count,50 quantile server count,90 quantile server count,MIN server count,MAX server count,MEAN server CPU utilization,50 quantile server CPU utilization,MEAN server MEM utilization,SUCCESSFUL operations count,FAILED operations count,MEAN operations response time,50 quantile operations response time (sampled),90 quantile operations response time (sampled),50 quantile operation response time (AVG over all targets),90 quantile operation response time (AVG over all targets),MAX operations response time,operations per second,requests per second,operations response time threshold violations,live migrations count,Server CPU > 90% measurements count,Server activations count,Server deactivations count,Total seen operations count
FirstFitDemand,KMControl,Round,MKII,MKII,20302,MKIICOOP ,12/1/2013 13:30:00,12/2/2013 2:00:00,ok,2.436855161,3,4,1,4,43.6365846,43.4,49.76355316,2748735,4549,652.0532421,1046,1127,592.1443398,1044.107057,108157,5.270986975,40.66271592,13386,9,1,6,6,2753284
WorstFit,TControl,Round,MKII,MKII,20302,MKIICOOP ,12/2/2013 8:35:00,12/2/2013 21:00:00,ok,2.890569987,3,5,1,5,40.7471623,45.3,42.94036286,2754256,2255,663.6912505,1048,1127,586.3542016,987.5932327,56761,5.307807509,40.9783074,12601,24,1,15,15,2756511
WorstFit,TControl,Round,MKII,MKII,20303,MKIICOOP ,12/2/2013 21:15:00,12/3/2013 9:15:00,ok,2.685389911,3,4,1,5,38.83622257,38.7,41.65587744,2147735,2912,704.5878933,1050,1164,608.5565142,1136.725494,53880,4.805968256,37.16638064,17269,27,1,12,12,2150647
FirstFitDemand,KMControl,Round,MKII,MKII,20303,MKIICOOP ,12/3/2013 12:45:00,12/4/2013 1:00:00,ok,2.180431569,3,3,1,4,41.85612449,44.1,48.4701725,2156316,765,713.8481793,1046,1121,773.9031063,1796.524489,42907,4.618424987,35.37934685,15869,8,1,8,8,2157081
FirstFitDemand,KMControl,Round,MKII,MKII,20300,MKIICOOP ,12/4/2013 9:30:00,12/4/2013 21:43:00,failed,,,,,,,,,,,,,,,,,,,,,,,,
FirstFitDemand,KMControl,Round,MKII,MKII,20300,MKIICOOP ,12/5/2013 10:50:00,12/5/2013 23:00:00,ok,2.421807936,3,3,1,4,38.94056919,39.7,49.08153589,2263340,813,637.0617353,1046,1144,579.7186797,917.4346202,54938,3.455097972,26.69983785,13849,10,1,7,7,2264153
WorstFit,TControl,Round,MKII,MKII,20300,MKIICOOP ,12/4/2013 21:45:00,12/5/2013 10:00:00,ok,2.864760446,3,4,1,6,38.09543838,41.9,41.08929911,2225123,4118,747.6369763,1053,1269,622.2801594,1691.810531,57063,3.354968627,25.82120338,28086,29,1,14,14,2229241
WorstFitDemand,None,Round,MKII,MKII,20000,MKIICOOP ,12/9/2013 9:39:00,12/9/2013 20:45:00,failed,,,,,,,,,,,,,,,,,,,,,,,,
WorstFitDemand,None,Round,MKII,MKII,20000,MKIICOOP ,12/9/2013 21:20:00,12/10/2013 8:30:00,ok,3.052007686,3,4,1,4,32.45615508,33.5,39.76136631,2437409,185,610.1482411,1044,1101,612.3226039,899.4930069,15613,4.227945257,32.68375697,4374.5,0,1,5,5,2437594
WorstFitDemand,None,Round,MKII,MKII,20001,MKIICOOP ,12/10/2013 9:25:00,12/10/2013 21:33:00,failed,,,,,,,,,,,,,,,,,,,,,,,,
